Idiom	Context	Meaning	Explanation	Language
play devil's advocate	I'm all for universal health care, but I'll play devil's advocate in asking how the government intends to fund such a massive undertaking.	argue against or attack an idea, argument, or proposition—even if one is in favor of it—for the sake of debate or to further examine its strength, validity, or details. Refers to the "Advocatus Diaboli," a person employed by the Catholic Church to argue against the canonization of a saint and therefore help determine if that person is truly worthy of sainthood.  	argumentar en contra o atacar una idea, argumento o proposición, incluso si uno está a favor de él, con el fin de debatir o para examinar más a fondo su fuerza, validez o detalles. Se refiere al "Advocatus Diaboli", una persona empleada por la Iglesia Católica para argumentar en contra de la canonización de un santo y, por lo tanto, ayudar a determinar si esa persona es realmente digna de ser canonizada.	Spanish
play devil's advocate	I'm all for universal health care, but I'll play devil's advocate in asking how the government intends to fund such a massive undertaking.	argue against or attack an idea, argument, or proposition—even if one is in favor of it—for the sake of debate or to further examine its strength, validity, or details. Refers to the "Advocatus Diaboli," a person employed by the Catholic Church to argue against the canonization of a saint and therefore help determine if that person is truly worthy of sainthood.  	Gegen eine Idee, ein Argument oder einen Vorschlag argumentieren oder ihn angreifen – auch wenn man dafür ist –, um eine Debatte zu führen oder ihre Stärke, Gültigkeit oder Details weiter zu untersuchen. Bezieht sich auf den „Advocatus Diaboli“, eine Person, die von der katholischen Kirche eingesetzt wird, um gegen die Heiligsprechung eines Heiligen zu argumentieren und so dabei zu helfen, festzustellen, ob diese Person wirklich der Heiligkeit würdig ist.	German
back on one's feet	If you think I'm doing your chores for you, you're dead wrong, buddy!	Completely wrong.  	Completamente mal.	Spanish
back on one's feet	If you think I'm doing your chores for you, you're dead wrong, buddy!	Completely wrong.  	Komplett falsch.	German
wear one's heart on one's sleeve	My father was always very closed off regarding his feelings, so when I had kids, I made a point of wearing my heart on my sleeve with them.	openly display or make known one's emotions or sentiments.  	Mostrar o dar a conocer abiertamente las propias emociones o sentimientos.	Spanish
wear one's heart on one's sleeve	My father was always very closed off regarding his feelings, so when I had kids, I made a point of wearing my heart on my sleeve with them.	openly display or make known one's emotions or sentiments.  	seine Gefühle oder Gefühle offen zeigen oder kundtun.	German
pass the buck	Politicians have two skills: making empty promises and then passing the buck when they fail to deliver on them.	shift or reassign the blame or responsibility for something to another person, group, or thing.  	trasladar o reasignar la culpa o la responsabilidad de algo a otra persona, grupo o cosa.	Spanish
pass the buck	Politicians have two skills: making empty promises and then passing the buck when they fail to deliver on them.	shift or reassign the blame or responsibility for something to another person, group, or thing.  	die Schuld oder Verantwortung für etwas auf eine andere Person, Gruppe oder Sache verlagern oder neu zuweisen.	German
have big ears	Let's postpone this discussion until a later time—some people in the office have big ears.	listen in on a conversation that one is not a participant in; to eavesdrop. 	escuchar una conversación en la que uno no participa; escuchar a escondidas.	Spanish
have big ears	Let's postpone this discussion until a later time—some people in the office have big ears.	listen in on a conversation that one is not a participant in; to eavesdrop. 	einem Gespräch zuhören, an dem man nicht beteiligt ist; belauschen.	German
have kittens	My parents will have kittens if I'm not home by curfew.	be very upset, anxious, or uneasy.  	estar muy molesto, ansioso o intranquilo.	Spanish
have kittens	My parents will have kittens if I'm not home by curfew.	be very upset, anxious, or uneasy.  	sehr verärgert, ängstlich oder unruhig sein.	German
sweat blood	What a terrible test! I was really sweating blood at the last. Bob is such a bad driver. I sweat bullets every time I ride with him.	to be very anxious and tense. 	estar muy ansioso y tenso.	Spanish
sweat blood	What a terrible test! I was really sweating blood at the last. Bob is such a bad driver. I sweat bullets every time I ride with him.	to be very anxious and tense. 	sehr ängstlich und angespannt sein.	German
go with the flow	We always do things your way—can't you just go with the flow for once?	nonchalantly engage in a situation without trying to change it or assert control over it. ? 	Participar despreocupadamente en una situación sin intentar cambiarla o ejercer control sobre ella. ?	Spanish
go with the flow	We always do things your way—can't you just go with the flow for once?	nonchalantly engage in a situation without trying to change it or assert control over it. ? 	Sich lässig auf eine Situation einlassen, ohne zu versuchen, sie zu ändern oder Kontrolle darüber zu erlangen. ?	German
scream blue murder	Enid screamed blue murder when she noticed the snake in the rocks next to her.	shout loudly in pain, fear, or anger. The second term appears to have originated as a play on the French expletive morbleu (mort bleu translates as “blue murder”). The Hotten Dictionary of Slang (1859) defined it as a desperate or alarming cry. The term was used by Dion Boucicault about 1874: “They were standing by and trying to screech blue murder” (quoted in M. R. Booth, English Plays of the Nineteenth Century; cited by OED). It is heard less often, at least in America, than the more graphic bloody murder, dating from the first half of the 1900s. For example, “The one-year-old who has yelled bloody murder during his physical . . .” (B. Spock, Problems of Parents, 1962).	gritar fuerte de dolor, miedo o ira. El segundo término parece haberse originado como un juego de palabras con el insulto francés morbleu (mort bleu se traduce como "asesinato azul"). El Diccionario Hotten de Argot (1859) lo definió como un grito desesperado o alarmante. El término fue utilizado por Dion Boucicault alrededor de 1874: “Estaban esperando e intentando chillar un asesinato azul” (citado en M. R. Booth, English Plays of the Nineteenth Century; citado por OED). Se escucha con menos frecuencia, al menos en Estados Unidos, que el asesinato sangriento más gráfico, que data de la primera mitad del siglo XX. Por ejemplo, “El niño de un año que gritó un asesinato sangriento durante su examen físico. . .” (B. Spock, Problemas de los padres, 1962).	Spanish
scream blue murder	Enid screamed blue murder when she noticed the snake in the rocks next to her.	shout loudly in pain, fear, or anger. The second term appears to have originated as a play on the French expletive morbleu (mort bleu translates as “blue murder”). The Hotten Dictionary of Slang (1859) defined it as a desperate or alarming cry. The term was used by Dion Boucicault about 1874: “They were standing by and trying to screech blue murder” (quoted in M. R. Booth, English Plays of the Nineteenth Century; cited by OED). It is heard less often, at least in America, than the more graphic bloody murder, dating from the first half of the 1900s. For example, “The one-year-old who has yelled bloody murder during his physical . . .” (B. Spock, Problems of Parents, 1962).	laut vor Schmerz, Angst oder Wut schreien. Der zweite Begriff scheint als Anspielung auf den französischen Schimpfwort morbleu entstanden zu sein (mort bleu bedeutet übersetzt „blauer Mord“). Das Hotten Dictionary of Slang (1859) definierte es als einen verzweifelten oder alarmierenden Schrei. Der Begriff wurde um 1874 von Dion Boucicault verwendet: „Sie standen daneben und versuchten, blauen Mord zu schreien“ (zitiert in M. R. Booth, English Plays of the Nineteenth Century; zitiert von OED). Zumindest in Amerika hört man ihn seltener als den anschaulicheren blutigen Mord aus der ersten Hälfte des 20. Jahrhunderts. Zum Beispiel: „Der Einjährige, der während seiner Untersuchung blutigen Mord geschrien hat. . .“ (B. Spock, Probleme der Eltern, 1962).	German
run out of steam	After spending hours working on this project, I'm running out of steam—can we take a break?	lose one's energy, motivation, or enthusiasm to continue doing something. ?	perder la energía, la motivación o el entusiasmo para continuar haciendo algo. ?	Spanish
run out of steam	After spending hours working on this project, I'm running out of steam—can we take a break?	lose one's energy, motivation, or enthusiasm to continue doing something. ?	die Energie, Motivation oder den Enthusiasmus verlieren, etwas weiter zu tun. ?	German
run for one's life	We ran for our lives when we heard that a lion had escaped from its cage.	run as fast as one possibly can, as if or because one is in a dangerous or grave situation.   	correr lo más rápido que pueda, como si o porque estuviera en una situación peligrosa o grave.	Spanish
run for one's life	We ran for our lives when we heard that a lion had escaped from its cage.	run as fast as one possibly can, as if or because one is in a dangerous or grave situation.   	rennen so schnell wie möglich, als ob oder weil man sich in einer gefährlichen oder ernsten Situation befindet.	German
play the field	When Tom told Ann good-bye, he said he wanted to play the field.	to date many different people rather than just one.  	hasta salir con muchas personas diferentes en lugar de solo una.	Spanish
play the field	When Tom told Ann good-bye, he said he wanted to play the field.	to date many different people rather than just one.  	mit vielen verschiedenen Menschen auszugehen und nicht nur mit einem.	German
lose one's touch	Unfortunately, my college roommate and I lost touch over the years, so I have no idea how she's doing now.	No longer be able to do or handle something skillfully. For example, I used to make beautiful cakes but I seem to have lost my touch, or Dad had a real knack for letting someone down gently, but he's lost his touch. This expression alludes to the older sense of touch as a musician's skill on an instrument or an artist's skill in using a brush or chisel. [First half of 1900s] Also see lose touch. 	Ya no poder hacer o manejar algo con habilidad. Por ejemplo, solía hacer pasteles hermosos pero parece que he perdido mi toque, o papá tenía una verdadera habilidad para decepcionar a alguien suavemente, pero ha perdido su toque. Esta expresión alude al antiguo sentido del tacto como la habilidad de un músico en un instrumento o la habilidad de un artista en el uso de un pincel o cincel. [Primera mitad de 1900] Véase también perder contacto.	Spanish
lose one's touch	Unfortunately, my college roommate and I lost touch over the years, so I have no idea how she's doing now.	No longer be able to do or handle something skillfully. For example, I used to make beautiful cakes but I seem to have lost my touch, or Dad had a real knack for letting someone down gently, but he's lost his touch. This expression alludes to the older sense of touch as a musician's skill on an instrument or an artist's skill in using a brush or chisel. [First half of 1900s] Also see lose touch. 	Nicht mehr in der Lage sein, etwas geschickt zu tun oder zu handhaben. Ich habe zum Beispiel früher wunderschöne Kuchen gebacken, aber ich scheine die Kontrolle verloren zu haben, oder Papa hatte ein echtes Talent dafür, jemanden sanft im Stich zu lassen, aber er hat die Kontrolle verloren. Dieser Ausdruck bezieht sich auf den älteren Tastsinn als die Fähigkeit eines Musikers auf einem Instrument oder die Fähigkeit eines Künstlers im Umgang mit Pinsel oder Meißel. [Erste Hälfte des 20. Jahrhunderts] Siehe auch Lose Touch.	German
bury the hatchet	Let's stop arguing and bury the hatchet.	to make peace.  	hacer las paces.	Spanish
bury the hatchet	Let's stop arguing and bury the hatchet.	to make peace.  	Frieden schließen.	German
keep one's head above water	Thousands of small businesses are struggling to keep their heads above water.	Stay out of trouble, especially financial difficulties; also, keep up with work or other demands. For example, With new bills coming in every day they're barely keeping their heads above water, or The work's piling up, but I manage to keep my head above water. This expression alludes to keeping oneself from drowning. [Early 1700s] Also see in deep. 	Manténgase alejado de problemas, especialmente dificultades financieras; Además, manténgase al día con el trabajo u otras demandas. Por ejemplo, con nuevas facturas que llegan todos los días, apenas pueden mantenerse a flote, o El trabajo se está acumulando, pero logro mantener mi cabeza a flote. Esta expresión alude a evitar ahogarse. [Principios de 1700] Véase también en profundidad.	Spanish
keep one's head above water	Thousands of small businesses are struggling to keep their heads above water.	Stay out of trouble, especially financial difficulties; also, keep up with work or other demands. For example, With new bills coming in every day they're barely keeping their heads above water, or The work's piling up, but I manage to keep my head above water. This expression alludes to keeping oneself from drowning. [Early 1700s] Also see in deep. 	Vermeiden Sie Ärger, insbesondere finanzielle Schwierigkeiten; Halten Sie außerdem mit der Arbeit oder anderen Anforderungen Schritt. Zum Beispiel: Da jeden Tag neue Rechnungen eingehen, halten sie sich kaum über Wasser, oder Die Arbeit häuft sich, aber ich schaffe es, mich über Wasser zu halten. Dieser Ausdruck spielt darauf an, sich vor dem Ertrinken zu schützen. [Anfang des 17. Jahrhunderts] Sehen Sie sich auch die Tiefe an.	German
sit tight	I know you're anxious to hear how you did, but just sit tight—they'll let you know the results when they're ready.	wait patiently without taking any immediate action.  	Espere pacientemente sin tomar ninguna acción inmediata.	Spanish
sit tight	I know you're anxious to hear how you did, but just sit tight—they'll let you know the results when they're ready.	wait patiently without taking any immediate action.  	Warten Sie geduldig, ohne sofort etwas zu unternehmen.	German
call the shots	My staff has to do what I say because I'm the boss, and I call all the shots here!	dictate how a situation or agenda proceeds, as from a position of authority.  	dictar cómo procede una situación o agenda, desde una posición de autoridad.	Spanish
call the shots	My staff has to do what I say because I'm the boss, and I call all the shots here!	dictate how a situation or agenda proceeds, as from a position of authority.  	aus einer Autoritätsposition heraus bestimmen, wie eine Situation oder Tagesordnung abläuft.	German
poison pill	Sensing that Gangrenous Inc. was looking to acquire their company to exploit its valuable intellectual property, the board of directors passed a poison pill to ward them off.	A defensive tactic used to fend off a hostile corporate take over in which a company's board of directors give shareholders the ability to buy shares at discounted prices if any one shareholder i.e., the one seeking to take over buys a certain percentage of the company's shares at once, thus forcing the bidding company to spend substantially more in their bid. 	Una táctica defensiva utilizada para defenderse de una adquisición corporativa hostil en la que la junta directiva de una empresa otorga a los accionistas la posibilidad de comprar acciones a precios reducidos si cualquier accionista, es decir, el que busca hacerse cargo, compra un cierto porcentaje de las acciones de la empresa a un precio reducido. una vez, lo que obliga a la empresa postora a gastar sustancialmente más en su oferta.	Spanish
poison pill	Sensing that Gangrenous Inc. was looking to acquire their company to exploit its valuable intellectual property, the board of directors passed a poison pill to ward them off.	A defensive tactic used to fend off a hostile corporate take over in which a company's board of directors give shareholders the ability to buy shares at discounted prices if any one shareholder i.e., the one seeking to take over buys a certain percentage of the company's shares at once, thus forcing the bidding company to spend substantially more in their bid. 	Eine defensive Taktik zur Abwehr einer feindlichen Unternehmensübernahme, bei der der Vorstand eines Unternehmens den Aktionären die Möglichkeit einräumt, Aktien zu ermäßigten Preisen zu kaufen, wenn ein Aktionär, d. h. derjenige, der die Übernahme anstrebt, einen bestimmten Prozentsatz der Aktien des Unternehmens zu einem bestimmten Preis kauft einmalig, was das bietende Unternehmen dazu zwingt, wesentlich mehr für sein Angebot auszugeben.	German
draw in one's horns	I just got this quarter's budget report, and we definitely need to draw in our horns and spend less going forward.	act more cautiously than one did before. 	actuar con más cautela que antes.	Spanish
draw in one's horns	I just got this quarter's budget report, and we definitely need to draw in our horns and spend less going forward.	act more cautiously than one did before. 	agieren Sie vorsichtiger als zuvor.	German
leave the nest	I can't believe my little girl is getting ready to leave the nest. I'm so proud and so sad all at once!	move out of one's parents home for the first time, most typically when going into third-level education.  	mudarse de la casa de sus padres por primera vez, generalmente cuando ingresa a la educación de tercer nivel.	Spanish
leave the nest	I can't believe my little girl is getting ready to leave the nest. I'm so proud and so sad all at once!	move out of one's parents home for the first time, most typically when going into third-level education.  	Zum ersten Mal aus dem Elternhaus ausziehen, am häufigsten zu Beginn der Hochschulausbildung.	German
pull someone's leg	Quit pulling my leg, I know there isn't a Hollywood director calling me right now.	tease or joke with someone, often by trying to convince them of something untrue.  	Bromear o bromear con alguien, a menudo tratando de convencerlo de algo falso.	Spanish
pull someone's leg	Quit pulling my leg, I know there isn't a Hollywood director calling me right now.	tease or joke with someone, often by trying to convince them of something untrue.  	jemanden necken oder mit ihm scherzen, oft indem man versucht, ihn von etwas Unwahrem zu überzeugen.	German
get out of hand	If your party gets out of hand, the neighbors will call the police.	become chaotic and unmanageable, as of a situation. 	volverse caótico e inmanejable, a partir de una situación.	Spanish
get out of hand	If your party gets out of hand, the neighbors will call the police.	become chaotic and unmanageable, as of a situation. 	chaotisch und unüberschaubar werden, je nach Situation.	German
track record	The mayor brought in the new police chief because he has a strong track record of reducing crime in inner-city neighborhoods.	A history of someone's or something's performance, often cited as a predictor of how they will perform in the future.  	Una historia del desempeño de alguien o algo, a menudo citada como un predictor de cómo se desempeñará en el futuro.	Spanish
track record	The mayor brought in the new police chief because he has a strong track record of reducing crime in inner-city neighborhoods.	A history of someone's or something's performance, often cited as a predictor of how they will perform in the future.  	Eine Historie der Leistung einer Person oder eines Gegenstands, die oft als Indikator dafür herangezogen wird, wie sie sich in der Zukunft entwickeln wird.	German
rabbit hole	Overhauling the current tax legislation is a rabbit hole I don't think this administration should go down at this point.	A situation, journey, or process that is particularly strange, problematic, difficult, complex, or chaotic, especially one that becomes increasingly so as it develops or unfolds. An allusion to Alice's Adventures in Wonderland by Lewis Carroll, it is used especially in the phrase "go down the rabbit hole."  	Una situación, viaje o proceso que es particularmente extraño, problemático, difícil, complejo o caótico, especialmente uno que se vuelve cada vez más a medida que se desarrolla o se desarrolla. Una alusión a Las aventuras de Alicia en el país de las maravillas de Lewis Carroll, se utiliza especialmente en la frase "bajar por la madriguera del conejo".	Spanish
rabbit hole	Overhauling the current tax legislation is a rabbit hole I don't think this administration should go down at this point.	A situation, journey, or process that is particularly strange, problematic, difficult, complex, or chaotic, especially one that becomes increasingly so as it develops or unfolds. An allusion to Alice's Adventures in Wonderland by Lewis Carroll, it is used especially in the phrase "go down the rabbit hole."  	Eine Situation, Reise oder ein Prozess, der besonders seltsam, problematisch, schwierig, komplex oder chaotisch ist, insbesondere einer, der im Laufe seiner Entwicklung oder Entfaltung immer seltsamer wird. Es ist eine Anspielung auf „Alice im Wunderland“ von Lewis Carroll und wird vor allem in der Phrase „Geh ins Kaninchenloch“ verwendet.	German
draw fire	I drew fire from my parents when I announced that I want to be an artist, not a doctor.	attract criticism or judgment. 	atraer críticas o juicios.	Spanish
draw fire	I drew fire from my parents when I announced that I want to be an artist, not a doctor.	attract criticism or judgment. 	Kritik oder Urteil hervorrufen.	German
eat humble pie	Ugh, now that my idea has failed, I'll have to eat humble pie in the board meeting tomorrow.	admit that one is wrong, usually when doing so triggers great embarrassment or shame.  	admitir que uno está equivocado, generalmente cuando hacerlo le provoca gran vergüenza o vergüenza.	Spanish
eat humble pie	Ugh, now that my idea has failed, I'll have to eat humble pie in the board meeting tomorrow.	admit that one is wrong, usually when doing so triggers great embarrassment or shame.  	Geben Sie zu, dass Sie Unrecht haben, normalerweise, wenn dies große Verlegenheit oder Scham auslöst.	German
keep the wolf from the door	We were extremely poor then, and begging for scraps was all I could do to keep the wolf from the door.	do, acquire, or provide something that will allow one or something to narrowly avoid death, ruin, etc.  	hacer, adquirir o proporcionar algo que le permitirá a alguien o algo evitar por poco la muerte, la ruina, etc.	Spanish
keep the wolf from the door	We were extremely poor then, and begging for scraps was all I could do to keep the wolf from the door.	do, acquire, or provide something that will allow one or something to narrowly avoid death, ruin, etc.  	etwas tun, erwerben oder bereitstellen, das es jemandem oder etwas ermöglicht, Tod, Ruin usw. knapp zu vermeiden.	German
blue-eyed boy	It was no surprise that Frankie got the promotion. Everyone knows he's the boss's blue eyed boy.	An often derogatory term used to describe a man who is respected and treated especially well by an authority figure. Primarily heard in UK, Australia. 	Un término a menudo despectivo utilizado para describir a un hombre que es respetado y tratado especialmente bien por una figura de autoridad. Se escucha principalmente en el Reino Unido y Australia.	Spanish
blue-eyed boy	It was no surprise that Frankie got the promotion. Everyone knows he's the boss's blue eyed boy.	An often derogatory term used to describe a man who is respected and treated especially well by an authority figure. Primarily heard in UK, Australia. 	Ein oft abwertender Begriff, der verwendet wird, um einen Mann zu beschreiben, der von einer Autoritätsperson respektiert und besonders gut behandelt wird. Hauptsächlich in Großbritannien und Australien zu hören.	German
kangaroo court	People who live under oppressive regimes are often treated harshly by corrupt kangaroo courts that don't abide by the law.	An unofficial court or a court that disregards current laws and conducts unfair trials. 	Un tribunal no oficial o un tribunal que ignora las leyes vigentes y lleva a cabo juicios injustos.	Spanish
kangaroo court	People who live under oppressive regimes are often treated harshly by corrupt kangaroo courts that don't abide by the law.	An unofficial court or a court that disregards current laws and conducts unfair trials. 	Ein inoffizielles Gericht oder ein Gericht, das geltende Gesetze missachtet und unfaire Verfahren durchführt.	German
make yourself at home	Come in and make yourself at home! I'm just finishing up a few things in the kitchen.	enter a particular place and make oneself comfortable, feeling free to behave as if one lived there. Often used as a polite imperative in the phrase "make yourself at home."  	entrar en un lugar determinado y ponerse cómodo, sintiéndose libre de comportarse como si viviera allí. A menudo se utiliza como un imperativo cortés en la frase "siéntete como en casa".	Spanish
make yourself at home	Come in and make yourself at home! I'm just finishing up a few things in the kitchen.	enter a particular place and make oneself comfortable, feeling free to behave as if one lived there. Often used as a polite imperative in the phrase "make yourself at home."  	Betreten Sie einen bestimmten Ort, machen Sie es sich bequem und fühlen Sie sich frei, sich so zu verhalten, als ob Sie dort leben würden. Wird oft als höflicher Imperativ in der Formulierung „Fühlen Sie sich wie zu Hause“ verwendet.	German
shift gears	With that out of the way, let's shift gears and discuss our strategy for the third quarter.	quickly or abruptly change what one is doing or discussing.  	cambiar rápida o abruptamente lo que uno está haciendo o discutiendo.	Spanish
shift gears	With that out of the way, let's shift gears and discuss our strategy for the third quarter.	quickly or abruptly change what one is doing or discussing.  	schnell oder abrupt ändern, was man gerade tut oder bespricht.	German
add fuel to the fire	The debate was going poorly for the senatorial candidate, and his strikingly uncouth comments simply added fuel to the fire.	do or say something to make an argument, problem, or bad situation worse; to further incense an already angry person or group of people.  	hacer o decir algo para empeorar una discusión, un problema o una mala situación; para indignar aún más a una persona o grupo de personas que ya están enojados.	Spanish
add fuel to the fire	The debate was going poorly for the senatorial candidate, and his strikingly uncouth comments simply added fuel to the fire.	do or say something to make an argument, problem, or bad situation worse; to further incense an already angry person or group of people.  	etwas tun oder sagen, um einen Streit, ein Problem oder eine schlechte Situation zu verschlimmern; um eine bereits verärgerte Person oder Personengruppe noch mehr zu verärgern.	German
cut the mustard	I need a new worker from the temp agency—the one you sent over keeps mixing up orders and just isn't cutting the mustard.	Perform satisfactorily, as in We need a better catcher; this one just doesn't cut the mustard. The origin of this expression is disputed. Some believe it alludes to mustard in the sense of the best or main attraction (owing to its spicing up food), whereas others believe it is a corruption of pass muster. Still others hold that it concerns the preparation of mustard, which involves adding vinegar to mustard seed to "cut" (reduce) its bitterness. The expression is often in negative form, as in the example. [Slang; c. 1900] 	Desempeñarse satisfactoriamente, como en Necesitamos un mejor receptor; este simplemente no es suficiente. El origen de esta expresión es discutible. Algunos creen que alude a la mostaza en el sentido de la mejor o principal atracción (debido a que condimenta la comida), mientras que otros creen que es una corrupción de la aprobación. Otros sostienen que se trata de la preparación de mostaza, que implica agregar vinagre a la semilla de mostaza para "cortar" (reducir) su amargor. La expresión suele estar en forma negativa, como en el ejemplo. [Jerga; C. 1900]	Spanish
cut the mustard	I need a new worker from the temp agency—the one you sent over keeps mixing up orders and just isn't cutting the mustard.	Perform satisfactorily, as in We need a better catcher; this one just doesn't cut the mustard. The origin of this expression is disputed. Some believe it alludes to mustard in the sense of the best or main attraction (owing to its spicing up food), whereas others believe it is a corruption of pass muster. Still others hold that it concerns the preparation of mustard, which involves adding vinegar to mustard seed to "cut" (reduce) its bitterness. The expression is often in negative form, as in the example. [Slang; c. 1900] 	Führen Sie eine zufriedenstellende Leistung aus, wie in „Wir brauchen einen besseren Fänger“. Dieses hier reicht einfach nicht aus. Der Ursprung dieses Ausdrucks ist umstritten. Einige meinen, es sei eine Anspielung auf Senf im Sinne der besten oder Hauptattraktion (aufgrund der Würze von Speisen), während andere glauben, es handele sich um eine Verfälschung des Passmusters. Wieder andere sind der Meinung, dass es sich um die Herstellung von Senf handelt, bei der Senfkörnern Essig zugesetzt wird, um deren Bitterkeit zu „reduzieren“. Der Ausdruck liegt oft in negativer Form vor, wie im Beispiel. [Slang; C. 1900]	German
chicken out	Jumping off the high-dive is fun! Don't chicken out!	slang To refuse to do something due to fear real or perceived.  ?	Argot Negarse a hacer algo por miedo real o percibido. ?	Spanish
chicken out	Jumping off the high-dive is fun! Don't chicken out!	slang To refuse to do something due to fear real or perceived.  ?	Slang Sich weigern, etwas zu tun, weil man reale oder vermeintliche Angst hat. ?	German
ring a bell	This cold water really rings the bell. A good hot bowl of soup would ring the bell about now.	Inf. to be just what is needed; to hit the spot. 	inf. ser justo lo que se necesita; para dar en el clavo.	Spanish
ring a bell	This cold water really rings the bell. A good hot bowl of soup would ring the bell about now.	Inf. to be just what is needed; to hit the spot. 	Inf. genau das sein, was gebraucht wird; auf den Punkt treffen.	German
alley cat	I'd be wary of her. She's known around here as a bit of an alley cat.	A derogatory term for a person typically a woman considered immoral or promiscuous, especially a prostitute. The term "tomcat" or "tom cat," literally a male cat is more common when referring to a man. 	Término despectivo para una persona típicamente mujer considerada inmoral o promiscua, especialmente una prostituta. El término "gato" o "gato macho", literalmente gato macho, es más común cuando se refiere a un hombre.	Spanish
alley cat	I'd be wary of her. She's known around here as a bit of an alley cat.	A derogatory term for a person typically a woman considered immoral or promiscuous, especially a prostitute. The term "tomcat" or "tom cat," literally a male cat is more common when referring to a man. 	Eine abfällige Bezeichnung für eine Person, typischerweise eine Frau, die als unmoralisch oder promiskuitiv gilt, insbesondere eine Prostituierte. Der Begriff „Kater“ oder „Kater“, wörtlich übersetzt „Kater“, wird häufiger verwendet, wenn es um einen Mann geht.	German
be in deep water	Anthony is in deep water with his creditors. If he doesn't pay off his debts, they're going to take everything he owns.	be in a dangerous, vulnerable, or troublesome situation or position, especially that which could be beyond one's abilities to resolve.  	Estar en una situación o posición peligrosa, vulnerable o problemática, especialmente aquella que podría estar más allá de la capacidad de uno para resolver.	Spanish
be in deep water	Anthony is in deep water with his creditors. If he doesn't pay off his debts, they're going to take everything he owns.	be in a dangerous, vulnerable, or troublesome situation or position, especially that which could be beyond one's abilities to resolve.  	sich in einer gefährlichen, verletzlichen oder problematischen Situation oder Position befinden, insbesondere in einer Situation, die außerhalb der eigenen Fähigkeit liegt, sie zu lösen.	German
company man	It's no use trying to get his help in persuading the boss to increase worker safety—he's just a company man.	A male employee whose allegiance to his company or its management—or the interests thereof—takes precedence or priority over his own opinions or the interests of his fellow workers. 	Un empleado cuya lealtad a su empresa o a su dirección, o a los intereses de la misma, tiene precedencia o prioridad sobre sus propias opiniones o los intereses de sus compañeros de trabajo.	Spanish
company man	It's no use trying to get his help in persuading the boss to increase worker safety—he's just a company man.	A male employee whose allegiance to his company or its management—or the interests thereof—takes precedence or priority over his own opinions or the interests of his fellow workers. 	Ein männlicher Mitarbeiter, dessen Loyalität gegenüber seinem Unternehmen oder dessen Management – ​​oder deren Interessen – Vorrang oder Priorität gegenüber seinen eigenen Meinungen oder den Interessen seiner Kollegen hat.	German
war of nerves	The dictator's threats against the sovereign nation he was trying to conquer became a war of nerves as the citizens worried about the future of their country.	Psychological warfare used to wear down an adversary's resolve through fear tactics. 	La guerra psicológica solía desgastar la resolución de un adversario mediante tácticas de miedo.	Spanish
war of nerves	The dictator's threats against the sovereign nation he was trying to conquer became a war of nerves as the citizens worried about the future of their country.	Psychological warfare used to wear down an adversary's resolve through fear tactics. 	Psychologische Kriegsführung diente früher dazu, die Entschlossenheit eines Gegners durch Angsttaktiken zu zermürben.	German
pipe down	OK, class, pipe down! Let's begin our lesson, shall we?	become quiet and calm; to stop being loud or boisterous. Often said as a command. ? 	vuélvete tranquilo y calmado; dejar de ser ruidoso o bullicioso. A menudo se dice como una orden. ?	Spanish
pipe down	OK, class, pipe down! Let's begin our lesson, shall we?	become quiet and calm; to stop being loud or boisterous. Often said as a command. ? 	werde still und gelassen; aufhören, laut oder ausgelassen zu sein. Wird oft als Befehl gesagt. ?	German
bet one's bottom dollar	I lost my umbrella, so you can bet your bottom dollar that it will rain tomorrow!	Be certain that something will happen so much so that one would hypothetically risk one's last dollar betting on it.  	Esté seguro de que algo sucederá hasta el punto de que, hipotéticamente, uno arriesgaría hasta el último dólar apostando en ello.	Spanish
bet one's bottom dollar	I lost my umbrella, so you can bet your bottom dollar that it will rain tomorrow!	Be certain that something will happen so much so that one would hypothetically risk one's last dollar betting on it.  	Seien Sie sicher, dass etwas so viel passieren wird, dass Sie hypothetisch Ihren letzten Dollar riskieren würden, wenn Sie darauf wetten.	German
harp on	It was one mistake—why do you keep harping on me about it?	nag one persistently and annoyingly about some issue. ? 	Regañar a uno de manera persistente y molesta sobre algún tema. ?	Spanish
harp on	It was one mistake—why do you keep harping on me about it?	nag one persistently and annoyingly about some issue. ? 	jemanden beharrlich und nervig über irgendein Problem nörgeln. ?	German
drive someone up the wall	A week on vacation with my relatives is enough to drive me up the wall.	annoy or frustrate one to the point of exasperation.  	molestar o frustrar a uno hasta el punto de la exasperación.	Spanish
drive someone up the wall	A week on vacation with my relatives is enough to drive me up the wall.	annoy or frustrate one to the point of exasperation.  	jemanden bis zur Verzweiflung nerven oder frustrieren.	German
red tape	Our lawyer was able to cut through red tape and get us an answer from the courthouse.	Official, bureaucratic rules or methods that are typically overly strict, convoluted, or tedious.  	Reglas o métodos oficiales y burocráticos que suelen ser demasiado estrictos, complicados o tediosos.	Spanish
red tape	Our lawyer was able to cut through red tape and get us an answer from the courthouse.	Official, bureaucratic rules or methods that are typically overly strict, convoluted, or tedious.  	Offizielle, bürokratische Regeln oder Methoden, die typischerweise übermäßig streng, kompliziert oder langwierig sind.	German
walk on air	I've been walking on air ever since I got engaged!	be in a state of extreme happiness. 	estar en un estado de extrema felicidad.	Spanish
